noise_level,model,fold,macro_f1,weighted_f1,soft_precision,soft_recall,soft_f1,soft_support,medium_precision,medium_recall,medium_f1,medium_support,hard_precision,hard_recall,hard_f1,hard_support,n_train,n_val,train_videos,val_videos,chunk_macro_f1,chunk_weighted_f1,chunk_acc,n_chunks
low,logreg,0,0.4792819232148853,0.49355143138152124,0.6815642458100558,0.583732057416268,0.6288659793814433,418.0,0.323943661971831,0.1377245508982036,0.19327731092436976,334.0,0.4885245901639344,0.8324022346368715,0.6157024793388429,358.0,6967.0,1110.0,16.0,4.0,,,,
low,logreg,1,0.4644090412395812,0.4688811231608934,0.3593155893536122,0.5558823529411765,0.43648960739030024,340.0,0.5080645161290323,0.45323741007194246,0.4790874524714829,695.0,0.5565476190476191,0.41834451901565994,0.4776500638569604,447.0,6595.0,1482.0,16.0,4.0,,,,
low,logreg,2,0.5326806627130608,0.5354612951158504,0.5818743563336766,0.6215621562156216,0.601063829787234,909.0,0.39853300733496333,0.4004914004914005,0.39950980392156865,814.0,0.6235138705416117,0.5735115431348724,0.5974683544303797,823.0,5531.0,2546.0,15.0,5.0,,,,
low,logreg,3,0.5263323322556438,0.5232248438397992,0.5221518987341772,0.6156716417910447,0.565068493150685,536.0,0.45698924731182794,0.5082212257100149,0.48124557678697805,669.0,0.639344262295082,0.45652173913043476,0.5326829268292683,598.0,6274.0,1803.0,16.0,4.0,,,,
low,logreg,4,0.45787226069379655,0.45266401179397364,0.4360086767895879,0.6360759493670886,0.5173745173745173,316.0,0.4340659340659341,0.1922141119221411,0.26644182124789206,411.0,0.539553752535497,0.6503667481662592,0.5898004434589801,409.0,6941.0,1136.0,17.0,3.0,,,,
low,logreg,mean,0.49211524402339346,0.4947565410584076,0.5161829534042219,0.6025848315462399,0.5497724854168359,503.8,0.42431927336271774,0.33837773981874053,0.3639123930704583,584.6,0.5694968189167489,0.5862293568168195,0.5626608535828863,527.0,6461.6,1615.4,16.0,4.0,0.6846041075721754,0.6801257692091522,0.6821705426356589,129.0
low,rf,0,0.36737499863863415,0.37435624775135196,0.6598984771573604,0.31100478468899523,0.42276422764227645,418.0,0.19333333333333333,0.17365269461077845,0.1829652996845426,334.0,0.3931484502446982,0.6731843575418994,0.4963954685890834,358.0,6967.0,1110.0,16.0,4.0,,,,
low,rf,1,0.35975199532770236,0.35132525176281254,0.3557951482479784,0.38823529411764707,0.37130801687763715,340.0,0.37524950099800397,0.27050359712230215,0.31438127090301005,695.0,0.34098360655737703,0.465324384787472,0.3935666982024598,447.0,6595.0,1482.0,16.0,4.0,,,,
low,rf,2,0.4038595528596354,0.4050284514611296,0.4534461910519952,0.41254125412541254,0.43202764976958524,909.0,0.32844243792325056,0.3574938574938575,0.3423529411764706,814.0,0.4345738295318127,0.4398541919805589,0.43719806763285024,823.0,5531.0,2546.0,15.0,5.0,,,,
low,rf,3,0.4034268530992407,0.40231744057429514,0.45698924731182794,0.47574626865671643,0.46617915904936014,536.0,0.37942857142857145,0.4962630792227205,0.43005181347150256,669.0,0.41081081081081083,0.25418060200668896,0.3140495867768595,598.0,6274.0,1803.0,16.0,4.0,,,,
low,rf,4,0.4110949612403101,0.40619882083196857,0.3620689655172414,0.6645569620253164,0.46875,316.0,0.3862815884476534,0.26034063260340634,0.311046511627907,411.0,0.5591397849462365,0.38141809290953543,0.45348837209302323,409.0,6941.0,1136.0,17.0,3.0,,,,
low,rf,mean,0.38910167223310455,0.3878452424763116,0.4576396058572807,0.4504169127228176,0.43220581066777175,503.8,0.33254708642616254,0.311650772210613,0.3161595673726866,584.6,0.4277312964181871,0.442792325845231,0.41893963865885525,527.0,6461.6,1615.4,16.0,4.0,0.42970021650152496,0.4261180736325692,0.4263565891472868,129.0
low,xgb,0,0.40311188178861385,0.4123316422599843,0.6283524904214559,0.3923444976076555,0.48306332842415317,418.0,0.22171945701357465,0.1467065868263473,0.17657657657657658,334.0,0.4315286624203822,0.7569832402234636,0.5496957403651116,358.0,6967.0,1110.0,16.0,4.0,,,,
low,xgb,1,0.36297253851298916,0.3613310893269116,0.3342391304347826,0.36176470588235293,0.3474576271186441,340.0,0.40344168260038243,0.3035971223021583,0.3464696223316913,695.0,0.34686971235194586,0.45861297539149887,0.394990366088632,447.0,6595.0,1482.0,16.0,4.0,,,,
