noise_level,model,fold,macro_f1,weighted_f1,soft_precision,soft_recall,soft_f1,soft_support,medium_precision,medium_recall,medium_f1,medium_support,hard_precision,hard_recall,hard_f1,hard_support,n_train,n_val,train_videos,val_videos,chunk_macro_f1,chunk_weighted_f1,chunk_acc,n_chunks
low,mamba,0,0.3312667947424097,0.3324621482613652,0.3558823529411765,0.2894736842105263,0.31926121372031663,418.0,0.3765432098765432,0.18263473053892215,0.24596774193548387,334.0,0.3404605263157895,0.5782122905027933,0.42857142857142855,358.0,6967.0,1110.0,16.0,4.0,,,,
low,mamba,1,0.4043884598689041,0.4219042700286481,0.33669354838709675,0.49117647058823527,0.39952153110047844,340.0,0.5164179104477612,0.497841726618705,0.5069597069597069,695.0,0.370253164556962,0.26174496644295303,0.30668414154652685,447.0,6595.0,1482.0,16.0,4.0,,,,
low,mamba,2,0.3657556011022394,0.3656623590146449,0.3929024081115336,0.341034103410341,0.3651354534746761,909.0,0.33986928104575165,0.44717444717444715,0.38620689655172413,814.0,0.380466472303207,0.31713244228432563,0.34592445328031807,823.0,5531.0,2546.0,15.0,5.0,,,,
low,mamba,3,0.34727979738703724,0.35345715769985586,0.3821656050955414,0.22388059701492538,0.2823529411764706,536.0,0.3934240362811791,0.5186846038863976,0.44745325596389424,669.0,0.30971993410214166,0.31438127090301005,0.3120331950207469,598.0,6274.0,1803.0,16.0,4.0,,,,
low,mamba,4,0.3376235942199219,0.3589528679186169,0.42424242424242425,0.04430379746835443,0.08022922636103152,316.0,0.38373751783166904,0.6545012165450121,0.48381294964028776,411.0,0.4527363184079602,0.4449877750611247,0.44882860665844637,409.0,6941.0,1136.0,17.0,3.0,,,,
low,mamba,mean,0.35726284946410247,0.3664877605846262,0.37837726775555447,0.2779737305384765,0.2893000731665947,503.8,0.40199839109658086,0.46016734495269684,0.4140801102102194,584.6,0.3707272831372121,0.38329174903884133,0.36840836501549334,527.0,6461.6,1615.4,16.0,4.0,0.4117183985605038,0.41378715124125165,0.4186046511627907,129.0
low,mamba_ssm_v1,0,0.2438859827569505,0.2398164398051059,0.49635036496350365,0.16267942583732056,0.24504504504504504,418.0,0.30138568129330257,0.781437125748503,0.435,334.0,0.11214953271028037,0.0335195530726257,0.05161290322580645,358.0,6967.0,1110.0,16.0,4.0,,,,
low,mamba_ssm_v1,1,0.28301521809832314,0.33497742102171507,0.22105263157894736,0.18529411764705883,0.2016,340.0,0.46226415094339623,0.7050359712230215,0.5584045584045584,695.0,0.1897810218978102,0.058165548098434,0.08904109589041095,447.0,6595.0,1482.0,16.0,4.0,,,,
low,mamba_ssm_v1,2,0.34584244232983524,0.34824383771472744,0.43171296296296297,0.41034103410341033,0.4207557811618725,909.0,0.3,0.527027027027027,0.38235294117647056,814.0,0.5,0.15309842041312272,0.2344186046511628,823.0,5531.0,2546.0,15.0,5.0,,,,
low,mamba_ssm_v1,3,0.2732866538380045,0.25852694606574483,0.30682670667666917,0.7630597014925373,0.4376672017121455,536.0,0.3333333333333333,0.02242152466367713,0.04201680672268908,669.0,0.40941176470588236,0.2909698996655518,0.34017595307917886,598.0,6274.0,1803.0,16.0,4.0,,,,
low,mamba_ssm_v1,4,0.2699926276853762,0.2840981082736539,0.21428571428571427,0.06645569620253164,0.10144927536231885,316.0,0.34800550206327374,0.6155717761557178,0.4446397188049209,411.0,0.3054662379421222,0.23227383863080683,0.2638888888888889,409.0,6941.0,1136.0,17.0,3.0,,,,
low,mamba_ssm_v1,mean,0.28320458494169787,0.29313255057618937,0.33404567609355945,0.31756599505657174,0.28130346065627637,503.8,0.34899773352666114,0.5302986849635893,0.3724828050217278,584.6,0.30336171145121904,0.15360545197610823,0.19582748914708956,527.0,6461.6,1615.4,16.0,4.0,0.2890687139053152,0.2931469458297243,0.3333333333333333,129.0
