noise_level,model,feature,importance
low,logreg,mouth_open_px_mean,0.10877196672815186
low,logreg,mouth_open_px_std,1.5627251655963776
low,logreg,mouth_open_px_p95,1.4872629432897033
low,logreg,mouth_width_px_mean,0.25373533570131956
low,logreg,mouth_width_px_std,0.05509095227669175
low,logreg,mouth_width_px_p95,0.40807471465874007
low,logreg,jaw_left_y_px_mean,0.25341219135897325
low,logreg,jaw_left_y_px_std,0.08907881488042542
low,logreg,jaw_left_y_px_p95,0.16637244521648606
low,logreg,jaw_right_y_px_mean,0.24395841180618028
low,logreg,jaw_right_y_px_std,0.0057326694087074595
low,logreg,jaw_right_y_px_p95,0.17775827311959036
low,logreg,mouth_open_smooth_mean,0.06838339039471264
low,logreg,mouth_open_smooth_std,1.399759556647961
low,logreg,mouth_open_smooth_p95,1.2711783407063806
low,logreg,jaw_lr_delta_abs_mean,0.19717214954445605
low,logreg,pause_ratio,0.1614433609704604
low,logreg,window_duration_sec,0.21411472873316736
low,logreg,window_frame_count,0.1558554223706379
low,rf,mouth_open_px_mean,0.03680478080295761
low,rf,mouth_open_px_std,0.059519759087176737
low,rf,mouth_open_px_p95,0.0505493711007709
low,rf,mouth_width_px_mean,0.05704287257422816
low,rf,mouth_width_px_std,0.05113518674364165
low,rf,mouth_width_px_p95,0.05697803444984746
low,rf,jaw_left_y_px_mean,0.05678869152245007
low,rf,jaw_left_y_px_std,0.04560150867899544
low,rf,jaw_left_y_px_p95,0.05668762318892582
low,rf,jaw_right_y_px_mean,0.05827694989734877
low,rf,jaw_right_y_px_std,0.04512604065229189
low,rf,jaw_right_y_px_p95,0.05608394283249332
low,rf,mouth_open_smooth_mean,0.038789936936523856
low,rf,mouth_open_smooth_std,0.05915724930413642
low,rf,mouth_open_smooth_p95,0.05034377233877684
low,rf,jaw_lr_delta_abs_mean,0.05385173278237329
low,rf,pause_ratio,0.0659779599545365
low,rf,window_duration_sec,0.05379917966559729
low,rf,window_frame_count,0.04748540748692801
low,xgb,mouth_open_px_mean,0.031062066555023193
low,xgb,mouth_open_px_std,0.06959869712591171
low,xgb,mouth_open_px_p95,0.07286696881055832
low,xgb,mouth_width_px_mean,0.04762784391641617
low,xgb,mouth_width_px_std,0.03845085948705673
low,xgb,mouth_width_px_p95,0.048276979476213455
low,xgb,jaw_left_y_px_mean,0.054902538657188416
low,xgb,jaw_left_y_px_std,0.03600317984819412
low,xgb,jaw_left_y_px_p95,0.052978526800870895
low,xgb,jaw_right_y_px_mean,0.05625179409980774
low,xgb,jaw_right_y_px_std,0.0358252078294754
low,xgb,jaw_right_y_px_p95,0.053216345608234406
low,xgb,mouth_open_smooth_mean,0.03413740172982216
low,xgb,mouth_open_smooth_std,0.07794573903083801
low,xgb,mouth_open_smooth_p95,0.0710565596818924
low,xgb,jaw_lr_delta_abs_mean,0.04807429388165474
low,xgb,pause_ratio,0.06426865607500076
low,xgb,window_duration_sec,0.06310155242681503
low,xgb,window_frame_count,0.04435478895902634
med,logreg,mouth_open_px_mean,0.0407694168026426
med,logreg,mouth_open_px_std,0.4512604811724124
med,logreg,mouth_open_px_p95,0.34559253788130945
med,logreg,mouth_width_px_mean,0.3252503922105668
med,logreg,mouth_width_px_std,0.04456733597836027
med,logreg,mouth_width_px_p95,0.5354719115944085
med,logreg,jaw_left_y_px_mean,0.277214629795582
med,logreg,jaw_left_y_px_std,0.06835962340172663
med,logreg,jaw_left_y_px_p95,0.14845552295168996
med,logreg,jaw_right_y_px_mean,0.21412853069462892
med,logreg,jaw_right_y_px_std,0.011443849119962345
med,logreg,jaw_right_y_px_p95,0.20813560408963985
med,logreg,mouth_open_smooth_mean,0.06939752549926652
med,logreg,mouth_open_smooth_std,0.40693527173574107
med,logreg,mouth_open_smooth_p95,0.319226579528588
med,logreg,jaw_lr_delta_abs_mean,0.16644466471701488
med,logreg,pause_ratio,0.19260754133079894
med,logreg,window_duration_sec,0.21835668940667974
med,logreg,window_frame_count,0.1495552364203229
med,rf,mouth_open_px_mean,0.034852924352689135
med,rf,mouth_open_px_std,0.04765982686807913
med,rf,mouth_open_px_p95,0.038559004969760495
med,rf,mouth_width_px_mean,0.061581436706027816
med,rf,mouth_width_px_std,0.05468135483315652
med,rf,mouth_width_px_p95,0.06106619304214287
med,rf,jaw_left_y_px_mean,0.06304854591726639
med,rf,jaw_left_y_px_std,0.05001091477494274
med,rf,jaw_left_y_px_p95,0.06124982425041931
med,rf,jaw_right_y_px_mean,0.06426586997325136
med,rf,jaw_right_y_px_std,0.049176238497394956
med,rf,jaw_right_y_px_p95,0.061844966428990095
med,rf,mouth_open_smooth_mean,0.039944780211727635
med,rf,mouth_open_smooth_std,0.048883346136163214
med,rf,mouth_open_smooth_p95,0.039350877172227926
med,rf,jaw_lr_delta_abs_mean,0.049237499948881214
med,rf,pause_ratio,0.06408668317616789
med,rf,window_duration_sec,0.05904409361793488
med,rf,window_frame_count,0.051455619122776367
med,xgb,mouth_open_px_mean,0.03390594571828842
med,xgb,mouth_open_px_std,0.05758151412010193
med,xgb,mouth_open_px_p95,0.04838104918599129
med,xgb,mouth_width_px_mean,0.05584821105003357
