,count,mean,std,min,1%,5%,50%,95%,99%,max
bite_id,477.0,238.0,137.84230119959548,0.0,4.76,23.8,238.0,452.2,471.24,476.0
start_frame,477.0,4369.876310272537,2603.6089818686346,0.0,124.19999999999999,358.0,4413.0,8438.199999999999,8755.44,8880.0
end_frame,477.0,4387.522012578616,2604.0955110579002,42.0,155.28,378.40000000000003,4414.0,8456.0,8766.2,8893.0
start_time_sec,477.0,174.7950524109015,104.1443592747454,0.0,4.968,14.32,176.52,337.528,350.2176,355.2
end_time_sec,477.0,175.50088050314466,104.16382044231601,1.68,6.2112,15.136,176.56,338.24,350.648,355.72
duration_sec,477.0,0.7458280922431866,0.567658092412534,0.08,0.08,0.12,0.68,1.7279999999999995,2.9680000000000017,3.8
n_chews,477.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
chewing_frequency_per_sec,477.0,2.6478977424808208,2.727241787901055,0.2631578947368421,0.33719704952581664,0.5787526427061311,1.4705882352941175,8.333333333333334,12.5,12.5
avg_chew_time_sec,477.0,0.469853249475891,0.4999371593440421,0.04,0.04,0.04,0.36,1.36,2.6384000000000016,3.48
mouth_open_frames,477.0,11.746331236897275,12.498428983601052,1.0,1.0,1.0,9.0,34.0,65.96000000000004,87.0
