,count,unique,top,freq,mean,std,min,25%,50%,75%,max
bite_id,477.0,,,,238.0,137.84230119959548,0.0,119.0,238.0,357.0,476.0
start_frame,477.0,,,,4369.876310272537,2603.6089818686346,0.0,2068.0,4413.0,6584.0,8880.0
end_frame,477.0,,,,4387.522012578616,2604.0955110579002,42.0,2103.0,4414.0,6607.0,8893.0
start_time_sec,477.0,,,,174.7950524109015,104.1443592747454,0.0,82.72,176.52,263.36,355.2
end_time_sec,477.0,,,,175.50088050314466,104.16382044231601,1.68,84.12,176.56,264.28,355.72
duration_sec,477.0,,,,0.7458280922431866,0.567658092412534,0.08,0.32,0.68,1.0,3.8
n_chews,477.0,,,,1.0,0.0,1.0,1.0,1.0,1.0,1.0
chewing_frequency_per_sec,477.0,,,,2.6478977424808208,2.727241787901055,0.2631578947368421,1.0,1.4705882352941175,3.125,12.5
avg_chew_time_sec,477.0,,,,0.469853249475891,0.4999371593440421,0.04,0.16,0.36,0.6,3.48
chew_side,477,2,right,420,,,,,,,
mouth_open_frames,477.0,,,,11.746331236897275,12.498428983601052,1.0,4.0,9.0,15.0,87.0
