,count,mean,std,min,25%,50%,75%,max
bite_id,317.0,158.0,91.65424158215484,0.0,79.0,158.0,237.0,316.0
start_frame,317.0,6783.239747634069,4009.6205310600985,0.0,3216.0,6472.0,10165.0,13299.0
end_frame,317.0,6824.451104100946,4008.418048107353,103.0,3380.0,6478.0,10235.0,13380.0
start_time_sec,317.0,226.11981997089075,133.66100954210407,0.0,107.20560795157294,215.74461898712067,338.85105871509296,443.3231903445176
end_time_sec,317.0,227.49360371608367,133.6209246801636,3.4335129412350787,112.67256059586958,215.9446294497169,341.1845141120489,446.02333158956657
duration_sec,317.0,1.4071188222923217,1.806251753168503,0.0666701541987394,0.3666858480930667,0.8667120045836122,1.7000889320678545,14.767439155020776
n_chews,317.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
chewing_frequency_per_sec,317.0,2.4592300326295455,3.243660131701651,0.067716547838967,0.5882045233855376,1.153785795871631,2.7271300629693105,14.999215346331209
avg_chew_time_sec,317.0,1.053367404745698,1.7249091836732644,0.0333350770993697,0.1333403083974788,0.4000209251924363,1.233397852676679,14.100737613033385
mouth_open_frames,317.0,31.599369085173503,51.74456859755932,1.0,4.0,12.0,37.0,423.0
