sample_id,video_id,person_id,data_path,n_files,missing_expected_files,food_type,chewing_side_dominance,rhythm_class,pause_style,chew_rate_target,eater_speed_class,notes
1,1,,data/1,5,,,,,,,,
10,10,,data/10,5,,,,,,,,
11,11,,data/11,5,,,,,,,,
12,12,,data/12,5,,,,,,,,
13,13,,data/13,5,,,,,,,,
14,14,,data/14,5,,,,,,,,
15,15,,data/15,5,,,,,,,,
16,16,,data/16,5,,,,,,,,
17,17,,data/17,5,,,,,,,,
18,18,,data/18,5,,,,,,,,
19,19,,data/19/v_9 files,5,,,,,,,,
2,2,,data/2,4,face_landmarks.csv,,,,,,,
20,20,,data/20,4,face_landmarks.csv,,,,,,,
3,3,,data/3,4,face_landmarks.csv,,,,,,,
4,4,,data/4,5,,,,,,,,
5,5,,data/5,5,,,,,,,,
6,6,,data/6,4,face_landmarks.csv,,,,,,,
7,7,,data/7,5,,,,,,,,
8,8,,data/8,5,,,,,,,,
9,9,,data/9,5,,,,,,,,
